iter	TotalF1:average=Weighted;use_weights=false_Class=0,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=0,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=0,TP	TotalF1:average=Weighted;use_weights=false_Class=1,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=1,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=1,TP	TotalF1:average=Weighted;use_weights=false_Class=2,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=2,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=2,TP	TotalF1:average=Weighted;use_weights=false_Class=3,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=3,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=3,TP	TotalF1:average=Weighted;use_weights=false_Class=4,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=4,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=4,TP	TotalF1:average=Weighted;use_weights=false_Class=5,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=5,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=5,TP	Accuracy_SumError	Accuracy_SumWeight
182	50248	15935	15935	0	6975	0	0	6830	0	0	11377	0	0	7153	0	0	1978	0	15935	50248
183	50248	15942	15942	0	6967	0	0	6826	0	0	11380	0	0	7152	0	0	1981	0	15942	50248
184	50248	15946	15946	0	6971	0	0	6807	0	0	11388	0	0	7155	0	0	1981	0	15946	50248
185	50248	15951	15951	0	6973	0	0	6806	0	0	11395	0	0	7147	0	0	1976	0	15951	50248
186	50248	15957	15957	0	6983	0	0	6798	0	0	11398	0	0	7144	0	0	1968	0	15957	50248
187	50248	15962	15962	0	6973	0	0	6808	0	0	11401	0	0	7138	0	0	1966	0	15962	50248
188	50248	15963	15963	0	6977	0	0	6809	0	0	11405	0	0	7125	0	0	1969	0	15963	50248
189	50248	15968	15968	0	6979	0	0	6810	0	0	11409	0	0	7122	0	0	1960	0	15968	50248
190	50248	15967	15967	0	6974	0	0	6810	0	0	11413	0	0	7120	0	0	1964	0	15967	50248
191	50248	15972	15972	0	6976	0	0	6802	0	0	11417	0	0	7121	0	0	1960	0	15972	50248
192	50248	15975	15975	0	6975	0	0	6794	0	0	11427	0	0	7124	0	0	1953	0	15975	50248
193	50248	15979	15979	0	6976	0	0	6787	0	0	11440	0	0	7114	0	0	1952	0	15979	50248
194	50248	15977	15977	0	6981	0	0	6784	0	0	11436	0	0	7121	0	0	1949	0	15977	50248
195	50248	15973	15973	0	6987	0	0	6785	0	0	11441	0	0	7111	0	0	1951	0	15973	50248
196	50248	15986	15986	0	6984	0	0	6789	0	0	11439	0	0	7101	0	0	1949	0	15986	50248
197	50248	15987	15987	0	6984	0	0	6794	0	0	11441	0	0	7097	0	0	1945	0	15987	50248
198	50248	15995	15995	0	6982	0	0	6791	0	0	11448	0	0	7096	0	0	1936	0	15995	50248
199	50248	15996	15996	0	6981	0	0	6785	0	0	11448	0	0	7101	0	0	1937	0	15996	50248
